distrito,consumo,micromedición
PUNTA NEGRA,80.7,92.30%
PACHACAMAC,87.88,97.30%
PUCUSANA,88.28,89.20%
MI PERU,90.88,94.10%
SAN BARTOLO,91.03,93.80%
SANTA ROSA,98.25,65.90%
VENTANILLA,107.64,90.10%
LURIGANCHO,113.18,68.10%
PUENTE PIEDRA,115.65,77.60%
CARABAYLLO,116.76,64.40%
ANCÓN,117.63,91.30%
PUNTA HERMOSA,119.3,88.40%
CHACLACAYO,119.69,35.10%
VILLA EL SALVADOR,127.12,93.50%
LURÍN,133.43,95.70%
CIENEGUILLA,133.9,68.00%
VILLA MARÍA DEL TRIUNFO,135.67,96.70%
SAN JUAN DE LURIGANCHO,140.79,93.20%
ATE-VITARTE,164.93,87.40%
INDEPENDENCIA,174.02,42.70%
CALLAO,175.3,74.90%
SAN JUAN DE MIRAFLORES,179.61,65.20%
LA PUNTA,187.6,95.20%
RIMAC,191.09,76.00%
CHORRILLOS,202.11,96.30%
COMAS,202.53,77.90%
EL CERCADO,209.11,84.60%
SAN MARTIN DE PORRES,210.33,88.40%
LA VICTORIA,213.39,85.10%
LOS OLIVOS,223.39,92.50%
LA PERLA,223.59,89.80%
BREÑA,226.86,64.40%
BARRANCO,226.97,93.90%
EL AGUSTINO,228.4,77.20%
BELLAVISTA,235.08,89.90%
CARMEN DE LA LEGUA,238.93,96.10%
PUEBLO LIBRE,243.31,92.10%
LINCE,244.82,97.60%
LA MOLINA,252.75,92.40%
SAN BORJA,256.68,96.20%
SAN MIGUEL,256.71,95.60%
SANTA ANITA,262.01,68.30%
MAGDALENA DEL MAR,267.05,96.30%
JESUS MARIA,268.48,95.60%
SURCO,281.37,95.30%
SURQUILLO,301.45,97.10%
SAN LUIS,327.8,95.20%
SAN ISIDRO,366.7,96.70%
MIRAFLORES,379.22,96.70%
